Phone timestamp;sensor timestamp [ns];X [dps];Y [dps];Z [dps]
2022-04-25T11:40:43.694;704202041168409396;-0.14;-0.98;1.12
2022-04-25T11:40:43.713;704202041187749656;-0.14;-1.05;1.19
2022-04-25T11:40:43.732;704202041207089916;-0.14;-1.26;1.33
2022-04-25T11:40:43.752;704202041226430176;-0.07;-1.33;1.4
2022-04-25T11:40:43.771;704202041245770436;-0.07;-1.33;1.4
2022-04-25T11:40:43.790;704202041265110696;-0.14;-1.4;1.4
2022-04-25T11:40:43.810;704202041284450956;-0.14;-1.19;1.4
2022-04-25T11:40:43.829;704202041303791216;-0.21000001;-0.98;1.47
2022-04-25T11:40:43.848;704202041323131476;-0.28;-0.98;1.54
2022-04-25T11:40:43.868;704202041342471736;-0.14;-1.33;1.54
2022-04-25T11:40:43.887;704202041361811996;-0.21000001;-1.12;1.6800001
2022-04-25T11:40:43.906;704202041381152256;-0.28;-1.05;1.4
2022-04-25T11:40:43.926;704202041400492516;-0.07;-1.26;1.4
2022-04-25T11:40:43.945;704202041419832776;-0.14;-0.91;1.54
2022-04-25T11:40:43.964;704202041439173036;-0.21000001;-0.91;1.54
2022-04-25T11:40:43.984;704202041458513296;-0.21000001;-1.05;1.61
2022-04-25T11:40:44.003;704202041477853556;-0.21000001;-1.12;1.4
2022-04-25T11:40:44.022;704202041497193816;-0.14;-1.19;1.47
2022-04-25T11:40:44.042;704202041516534076;-0.21000001;-0.77;1.4
2022-04-25T11:40:44.061;704202041535874336;-0.28;-0.49;1.33
2022-04-25T11:40:44.080;704202041555214596;-0.28;-0.98;1.05
2022-04-25T11:40:44.100;704202041574554856;-0.14;-1.4;0.98
2022-04-25T11:40:44.119;704202041593895116;-0.07;-1.54;0.91
2022-04-25T11:40:44.139;704202041613235376;-0.07;-1.54;0.84000003
2022-04-25T11:40:44.158;704202041632575636;-0.07;-0.91;1.05
2022-04-25T11:40:44.177;704202041651915896;-0.35;-0.21000001;1.4
2022-04-25T11:40:44.197;704202041671256156;-0.35;-0.56;1.05
2022-04-25T11:40:44.216;704202041690596416;-0.14;-1.05;1.05
2022-04-25T11:40:44.235;704202041709936676;-0.14;-0.63;1.19
2022-04-25T11:40:44.255;704202041729276936;-0.28;-0.35;1.05
2022-04-25T11:40:44.274;704202041748617196;-0.28;-0.42000002;0.91
2022-04-25T11:40:44.293;704202041767957456;-0.21000001;-0.49;0.91
2022-04-25T11:40:44.313;704202041787297716;-0.21000001;-0.63;0.91
2022-04-25T11:40:44.332;704202041806637976;-0.14;-0.84000003;0.98
2022-04-25T11:40:44.351;704202041825978236;-0.14;-0.77;0.98
2022-04-25T11:40:44.371;704202041845318496;-0.14;-0.84000003;1.12
2022-04-25T11:40:44.390;704202041864658756;-0.07;-0.98;1.12
2022-04-25T11:40:44.409;704202041883999016;0.0;-1.12;1.19
2022-04-25T11:40:44.429;704202041903339276;0.0;-0.98;1.12
