Phone timestamp;PP-interval [ms];error estimate [ms];blocker;contact;contact;hr [bpm]
2022-04-25T11:47:59.738;1126;8;0;1;1;53
2022-04-25T11:48:00.864;1091;7;0;1;1;53
2022-04-25T11:48:01.424;1094;6;0;1;1;57
2022-04-25T11:48:02.518;1085;7;0;1;1;57
2022-04-25T11:48:03.603;922;9;0;1;1;57
2022-04-25T11:48:04.525;998;11;0;1;1;57
2022-04-25T11:48:05.523;1241;12;0;1;1;57
2022-04-25T11:48:06.345;1107;11;0;1;1;53
2022-04-25T11:48:07.452;988;9;0;1;1;53
2022-04-25T11:48:08.440;1006;10;0;1;1;53
2022-04-25T11:48:09.446;1202;13;0;1;1;53
